target,location,truth_date,year_week,value
ILI incidence,CH,2023-07-30,2023-W30,7.1186352928994845
ILI incidence,CH,2023-08-06,2023-W31,7.308231992516371
ILI incidence,CH,2023-08-13,2023-W32,13.236601092965063
ILI incidence,CH,2023-08-20,2023-W33,17.589450868691912
ILI incidence,CH,2023-08-27,2023-W34,17.157440967679673
ILI incidence,CH,2023-09-03,2023-W35,23.70272047974306
ILI incidence,CH,2023-09-10,2023-W36,33.399336784598134
ILI incidence,CH,2023-09-17,2023-W37,26.390949663662006
ILI incidence,CH,2023-09-24,2023-W38,28.139173039361737
ILI incidence,CH,2023-10-01,2023-W39,27.157549208298402
ILI incidence,CH,2023-10-08,2023-W40,31.82483610209408
ILI incidence,CH,2023-10-15,2023-W41,36.74167590227919
ILI incidence,CH,2023-10-22,2023-W42,48.47388945774602
ILI incidence,CH,2023-10-29,2023-W43,64.41112702219309
ILI incidence,CH,2023-11-05,2023-W44,50.92668376348193
ILI incidence,CH,2023-11-12,2023-W45,70.40465363218762
ILI incidence,CH,2023-11-19,2023-W46,72.96811854512796
ILI incidence,CH,2023-11-26,2023-W47,74.45764375401902
ILI incidence,CH,2023-12-03,2023-W48,89.91103539655498
ILI incidence,CH,2023-12-10,2023-W49,77.47328973208654
ILI incidence,CH,2023-12-17,2023-W50,91.03777512559327
ILI incidence,CH,2023-12-24,2023-W51,93.51284602750236
ILI incidence,CH,2023-12-31,2023-W52,76.1133743307645
ILI incidence,CH,2024-01-07,2024-W01,68.41785629175219
ILI incidence,CH,2024-01-14,2024-W02,106.9409208295885
ILI incidence,CH,2024-01-21,2024-W03,126.551834715287
ILI incidence,CH,2024-01-28,2024-W04,133.67274587067453
ILI incidence,CH,2024-02-04,2024-W05,155.0839552238806
ILI incidence,CH,2024-02-11,2024-W06,148.67854509122915
ILI incidence,CH,2024-02-18,2024-W07,87.23843936000397
ILI incidence,CH,2024-02-25,2024-W08,103.2365243703462
ILI incidence,CH,2024-03-03,2024-W09,76.08837608099438
ILI incidence,CH,2024-03-10,2024-W10,71.13434465417129
ILI incidence,CH,2024-03-17,2024-W11,54.86059123716348
ILI incidence,CH,2024-03-24,2024-W12,46.36525387874327
ILI incidence,CH,2024-03-31,2024-W13,43.92232958791677
ILI incidence,CH,2024-04-07,2024-W14,46.07251345083126
ILI incidence,CH,2024-04-14,2024-W15,27.913792902918154
ILI incidence,CH,2024-04-21,2024-W16,31.725416520019234
ILI incidence,CH,2024-04-28,2024-W17,26.702968741818943
ILI incidence,CH,2024-05-05,2024-W18,20.42716813361771
ILI incidence,CH,2024-05-12,2024-W19,29.390048959520584
ILI incidence,CH,2024-05-19,2024-W20,21.048453540049195
ILI incidence,CH,2024-05-26,2024-W21,17.295398758722534
ILI incidence,CH,2024-06-02,2024-W22,19.044431235175644
ILI incidence,CH,2024-06-09,2024-W23,22.192262667620934
ILI incidence,CH,2024-06-16,2024-W24,23.32219050897904
ILI incidence,CH,2024-06-23,2024-W25,30.647380850795326
ILI incidence,CH,2024-06-30,2024-W26,16.40410336928566
ILI incidence,CH,2024-07-07,2024-W27,14.273734544221814
ILI incidence,CH,2024-07-14,2024-W28,20.61371613767672
ILI incidence,CH,2024-07-21,2024-W29,15.885533385150431
ILI incidence,CH,2024-07-28,2024-W30,13.412161074689642
ILI incidence,CH,2024-08-04,2024-W31,11.834154762899228
ILI incidence,CH,2024-08-11,2024-W32,11.46164646551477
ILI incidence,CH,2024-08-18,2024-W33,18.43082042749264
ILI incidence,CH,2024-08-25,2024-W34,22.417377951387916
ILI incidence,CH,2024-09-01,2024-W35,23.087405538724898
ILI incidence,CH,2024-09-08,2024-W36,18.79941560673771
ILI incidence,CH,2024-09-15,2024-W37,28.791112014361687
ILI incidence,CH,2024-09-22,2024-W38,33.13589860415027
ILI incidence,CH,2024-09-29,2024-W39,28.92841755400997
ILI incidence,CH,2024-10-06,2024-W40,41.04024962128299
ILI incidence,CH,2024-10-13,2024-W41,40.91553080267722
ILI incidence,CH,2024-10-20,2024-W42,16.987575638644977
ILI incidence,CH,2024-10-27,2024-W43,45.85393662242382
ILI incidence,CH,2024-11-03,2024-W44,45.66423904643702
ILI incidence,CH,2024-11-10,2024-W45,43.5417800567189
ILI incidence,CH,2024-11-17,2024-W46,55.59248985580339
ILI incidence,CH,2024-11-24,2024-W47,60.26194596327892
ILI incidence,CH,2024-12-01,2024-W48,50.794940823893945
ILI incidence,GB-ENG,2023-10-08,2023-W40,3.506030313114478
ILI incidence,GB-ENG,2023-10-15,2023-W41,3.23764738888748
ILI incidence,GB-ENG,2023-10-22,2023-W42,3.5018371152663113
ILI incidence,GB-ENG,2023-10-29,2023-W43,3.200426886767918
ILI incidence,GB-ENG,2023-11-05,2023-W44,3.308038195259563
ILI incidence,GB-ENG,2023-11-12,2023-W45,3.817564730621167
ILI incidence,GB-ENG,2023-11-19,2023-W46,3.396232878085079
ILI incidence,GB-ENG,2023-11-26,2023-W47,3.8100488699218604
ILI incidence,GB-ENG,2023-12-03,2023-W48,4.618276281237817
ILI incidence,GB-ENG,2023-12-10,2023-W49,5.334371757702166
ILI incidence,GB-ENG,2023-12-17,2023-W50,6.335146106447332
ILI incidence,GB-ENG,2023-12-24,2023-W51,7.674647437230564
ILI incidence,GB-ENG,2023-12-31,2023-W52,4.877002473992
ILI incidence,GB-ENG,2024-01-07,2024-W01,7.462624007501783
ILI incidence,GB-ENG,2024-01-14,2024-W02,7.990226863256051
ILI incidence,GB-ENG,2024-01-21,2024-W03,7.504110165947786
ILI incidence,GB-ENG,2024-01-28,2024-W04,9.83776206599768
ILI incidence,GB-ENG,2024-02-04,2024-W05,9.579475786973733
ILI incidence,GB-ENG,2024-02-11,2024-W06,9.149021399739318
ILI incidence,GB-ENG,2024-02-18,2024-W07,7.6104579630385425
ILI incidence,GB-ENG,2024-02-25,2024-W08,6.6795067353123825
ILI incidence,GB-ENG,2024-03-03,2024-W09,5.710512878762925
ILI incidence,GB-ENG,2024-03-10,2024-W10,5.336483856422901
ILI incidence,GB-ENG,2024-03-17,2024-W11,5.466156093164474
ILI incidence,GB-ENG,2024-03-24,2024-W12,4.910543936192183
ILI incidence,GB-ENG,2024-03-31,2024-W13,3.3917246754812576
ILI incidence,GB-ENG,2024-04-07,2024-W14,3.409054955574651
ILI incidence,GB-ENG,2024-04-14,2024-W15,3.2906380691427297
ILI incidence,GB-ENG,2024-04-21,2024-W16,3.0464347877004214
ILI incidence,GB-ENG,2024-04-28,2024-W17,2.8993042161288787
ILI incidence,GB-ENG,2024-05-05,2024-W18,2.8459682600324414
ILI incidence,GB-ENG,2024-05-12,2024-W19,2.242557651952436
ILI incidence,GB-ENG,2024-05-19,2024-W20,2.2958282517521544
ILI incidence,GB-ENG,2024-10-06,2024-W40,3.1735352173632725
ILI incidence,GB-ENG,2024-10-13,2024-W41,3.5687618869711124
ILI incidence,GB-ENG,2024-10-20,2024-W42,3.926980240744422
ILI incidence,GB-ENG,2024-10-27,2024-W43,3.769643537078847
ILI incidence,GB-ENG,2024-11-03,2024-W44,3.581192826951895
ILI incidence,GB-ENG,2024-11-10,2024-W45,3.786626931948449
ILI incidence,GB-ENG,2024-11-17,2024-W46,3.7452017751248734
ILI incidence,GB-ENG,2024-11-24,2024-W47,4.455446288037538
ILI incidence,GB-ENG,2024-12-01,2024-W48,6.038064021340776
ILI incidence,GB-WLS,2023-07-30,2023-W30,0.7190382144843058
ILI incidence,GB-WLS,2023-08-13,2023-W32,1.212547440918626
ILI incidence,GB-WLS,2023-08-20,2023-W33,1.8451546239574876
ILI incidence,GB-WLS,2023-09-03,2023-W35,0.26594117913000004
ILI incidence,GB-WLS,2023-09-17,2023-W37,2.5454230747692574
ILI incidence,GB-WLS,2023-09-24,2023-W38,3.303646399713684
ILI incidence,GB-WLS,2023-10-01,2023-W39,1.5409943008894105
ILI incidence,GB-WLS,2023-10-08,2023-W40,5.002942206488101
ILI incidence,GB-WLS,2023-10-15,2023-W41,3.0970594611593008
ILI incidence,GB-WLS,2023-10-22,2023-W42,1.716098474633613
ILI incidence,GB-WLS,2023-10-29,2023-W43,7.461981205756669
ILI incidence,GB-WLS,2023-11-05,2023-W44,3.7538195113528015
ILI incidence,GB-WLS,2023-11-12,2023-W45,3.9855722285327113
ILI incidence,GB-WLS,2023-11-19,2023-W46,3.254971969683692
ILI incidence,GB-WLS,2023-11-26,2023-W47,4.172775145838491
ILI incidence,GB-WLS,2023-12-03,2023-W48,4.767773664248611
ILI incidence,GB-WLS,2023-12-10,2023-W49,7.389362178860703
ILI incidence,GB-WLS,2023-12-17,2023-W50,7.062645667066883
ILI incidence,GB-WLS,2023-12-24,2023-W51,7.441897386157575
ILI incidence,GB-WLS,2023-12-31,2023-W52,6.94577089374707
ILI incidence,GB-WLS,2024-01-07,2024-W01,10.169331775689345
ILI incidence,GB-WLS,2024-01-14,2024-W02,9.952054513842137
ILI incidence,GB-WLS,2024-01-21,2024-W03,9.4396394057747
ILI incidence,GB-WLS,2024-01-28,2024-W04,15.172957926767028
ILI incidence,GB-WLS,2024-02-04,2024-W05,14.395450093806415
ILI incidence,GB-WLS,2024-02-11,2024-W06,9.327556793775083
ILI incidence,GB-WLS,2024-02-18,2024-W07,7.854784668442176
ILI incidence,GB-WLS,2024-02-25,2024-W08,7.750395916058045
ILI incidence,GB-WLS,2024-03-03,2024-W09,6.843738569186657
ILI incidence,GB-WLS,2024-03-10,2024-W10,6.135765613753554
ILI incidence,GB-WLS,2024-03-17,2024-W11,7.55171152461976
ILI incidence,GB-WLS,2024-03-24,2024-W12,6.522698992493879
ILI incidence,GB-WLS,2024-03-31,2024-W13,4.960059123904757
ILI incidence,GB-WLS,2024-04-07,2024-W14,4.714890567389931
ILI incidence,GB-WLS,2024-04-14,2024-W15,4.936126522795033
ILI incidence,GB-WLS,2024-04-21,2024-W16,4.715146228472411
ILI incidence,GB-WLS,2024-04-28,2024-W17,5.7052140695540015
ILI incidence,GB-WLS,2024-05-05,2024-W18,3.77825935591473
ILI incidence,GB-WLS,2024-05-19,2024-W20,3.204708785442076
ILI incidence,GB-WLS,2024-05-26,2024-W21,1.7555211139032256
ILI incidence,GB-WLS,2024-06-02,2024-W22,2.593489398522654
ILI incidence,GB-WLS,2024-06-09,2024-W23,2.7306194286054724
ILI incidence,GB-WLS,2024-06-16,2024-W24,2.424900821556398
ILI incidence,GB-WLS,2024-06-23,2024-W25,0.7626659751828492
ILI incidence,GB-WLS,2024-06-30,2024-W26,1.414630581012357
ILI incidence,GB-WLS,2024-07-07,2024-W27,0.9430870540082379
ILI incidence,GB-WLS,2024-07-14,2024-W28,3.105004072332264
ILI incidence,GB-WLS,2024-07-21,2024-W29,2.0236258315837405
ILI incidence,GB-WLS,2024-07-28,2024-W30,1.7143836790673752
ILI incidence,GB-WLS,2024-08-04,2024-W31,3.09383113869645
ILI incidence,GB-WLS,2024-08-11,2024-W32,0.4931160992544084
ILI incidence,GB-WLS,2024-08-18,2024-W33,1.0301074659613865
ILI incidence,GB-WLS,2024-08-25,2024-W34,1.5804487947760897
ILI incidence,GB-WLS,2024-09-01,2024-W35,0.7171029042667623
ILI incidence,GB-WLS,2024-09-08,2024-W36,1.6445243213400522
ILI incidence,GB-WLS,2024-09-15,2024-W37,2.245542597943083
ILI incidence,GB-WLS,2024-09-22,2024-W38,1.9372711598442434
ILI incidence,GB-WLS,2024-09-29,2024-W39,3.2890486426801044
ILI incidence,GB-WLS,2024-10-06,2024-W40,2.248931757415228
ILI incidence,GB-WLS,2024-10-13,2024-W41,3.068768307992747
ILI incidence,GB-WLS,2024-10-20,2024-W42,2.936850374815529
ILI incidence,GB-WLS,2024-10-27,2024-W43,3.2890486426801044
ILI incidence,GB-WLS,2024-11-03,2024-W44,2.3495136506743104
ILI incidence,GB-WLS,2024-11-10,2024-W45,3.148599357685731
ILI incidence,GB-WLS,2024-11-17,2024-W46,4.952643983557222
ILI incidence,GB-WLS,2024-11-24,2024-W47,3.4410246606767347
ILI incidence,GB-NIR,2023-07-30,2023-W30,1.1763273530811247
ILI incidence,GB-NIR,2023-08-06,2023-W31,1.091276678843017
ILI incidence,GB-NIR,2023-08-13,2023-W32,0.818840346603421
ILI incidence,GB-NIR,2023-08-20,2023-W33,0.8962388440669885
ILI incidence,GB-NIR,2023-08-27,2023-W34,1.4100342944862756
ILI incidence,GB-NIR,2023-09-03,2023-W35,1.0239020908682992
ILI incidence,GB-NIR,2023-09-10,2023-W36,0.782187779218474
ILI incidence,GB-NIR,2023-09-17,2023-W37,1.1166571750806786
ILI incidence,GB-NIR,2023-09-24,2023-W38,1.1688633505234172
ILI incidence,GB-NIR,2023-10-01,2023-W39,3.0010187668971837
ILI incidence,GB-NIR,2023-10-08,2023-W40,3.2977939328966985
ILI incidence,GB-NIR,2023-10-15,2023-W41,3.2369454512040914
ILI incidence,GB-NIR,2023-10-22,2023-W42,3.592354220703831
ILI incidence,GB-NIR,2023-10-29,2023-W43,3.353486929913671
ILI incidence,GB-NIR,2023-11-05,2023-W44,2.861199629474648
ILI incidence,GB-NIR,2023-11-12,2023-W45,4.152933287684831
ILI incidence,GB-NIR,2023-11-19,2023-W46,3.6729282546295248
ILI incidence,GB-NIR,2023-11-26,2023-W47,3.7065309074589425
ILI incidence,GB-NIR,2023-12-03,2023-W48,4.227694682853266
ILI incidence,GB-NIR,2023-12-10,2023-W49,6.464966347363637
ILI incidence,GB-NIR,2023-12-17,2023-W50,7.031460835505905
ILI incidence,GB-NIR,2023-12-24,2023-W51,9.257049961338202
ILI incidence,GB-NIR,2023-12-31,2023-W52,8.713457935781815
ILI incidence,GB-NIR,2024-01-07,2024-W01,14.899765662821768
ILI incidence,GB-NIR,2024-01-14,2024-W02,16.38228202245648
ILI incidence,GB-NIR,2024-01-21,2024-W03,17.410128182681778
ILI incidence,GB-NIR,2024-01-28,2024-W04,19.172658325665896
ILI incidence,GB-NIR,2024-02-04,2024-W05,17.21728112047744
ILI incidence,GB-NIR,2024-02-11,2024-W06,16.00591106516195
ILI incidence,GB-NIR,2024-02-18,2024-W07,13.58551793457582
ILI incidence,GB-NIR,2024-02-25,2024-W08,11.505883228821562
ILI incidence,GB-NIR,2024-03-03,2024-W09,9.376877490128903
ILI incidence,GB-NIR,2024-03-10,2024-W10,9.762712912927716
ILI incidence,GB-NIR,2024-03-17,2024-W11,9.37557691211025
ILI incidence,GB-NIR,2024-03-24,2024-W12,6.4754445344348674
ILI incidence,GB-NIR,2024-03-31,2024-W13,6.6687381635938126
ILI incidence,GB-NIR,2024-04-07,2024-W14,4.639373297990329
ILI incidence,GB-NIR,2024-04-14,2024-W15,5.117408312698752
ILI incidence,GB-NIR,2024-04-21,2024-W16,3.906901903963528
ILI incidence,GB-NIR,2024-04-28,2024-W17,3.8551727261950313
ILI incidence,GB-NIR,2024-05-05,2024-W18,3.6064454392890974
ILI incidence,GB-NIR,2024-05-12,2024-W19,3.0288359606482094
ILI incidence,GB-NIR,2024-05-19,2024-W20,2.211300321503838
ILI incidence,GB-NIR,2024-05-26,2024-W21,2.595428872992688
ILI incidence,GB-NIR,2024-06-02,2024-W22,2.7869381016242563
ILI incidence,GB-NIR,2024-06-09,2024-W23,1.8739864256111478
ILI incidence,GB-NIR,2024-06-16,2024-W24,2.685350311140991
ILI incidence,GB-NIR,2024-06-23,2024-W25,3.116541885124266
ILI incidence,GB-NIR,2024-06-30,2024-W26,3.2597320979587847
ILI incidence,GB-NIR,2024-07-07,2024-W27,2.7324329727001184
ILI incidence,GB-NIR,2024-07-14,2024-W28,2.444700632027016
ILI incidence,GB-NIR,2024-07-21,2024-W29,1.816023443906859
ILI incidence,GB-NIR,2024-07-28,2024-W30,1.6243973008250028
ILI incidence,GB-NIR,2024-08-04,2024-W31,1.2420532477781578
ILI incidence,GB-NIR,2024-08-11,2024-W32,1.1463381898269174
ILI incidence,GB-NIR,2024-08-18,2024-W33,1.1460595607153705
ILI incidence,GB-NIR,2024-08-25,2024-W34,1.3846216282672892
ILI incidence,GB-NIR,2024-09-01,2024-W35,1.241493975650483
ILI incidence,GB-NIR,2024-09-08,2024-W36,1.8584986761770967
ILI incidence,GB-NIR,2024-09-15,2024-W37,2.286706280676998
ILI incidence,GB-NIR,2024-09-22,2024-W38,1.9526273553567475
ILI incidence,GB-NIR,2024-09-29,2024-W39,2.761915283486794
ILI incidence,GB-NIR,2024-10-06,2024-W40,2.6664317667253123
ILI incidence,GB-NIR,2024-10-13,2024-W41,3.130358070276539
ILI incidence,GB-NIR,2024-10-20,2024-W42,3.8822926737349643
ILI incidence,GB-NIR,2024-10-27,2024-W43,3.5496069401914894
ILI incidence,GB-NIR,2024-11-03,2024-W44,3.830678342195915
ILI incidence,GB-NIR,2024-11-10,2024-W45,4.255113937767541
ILI incidence,GB-NIR,2024-11-17,2024-W46,4.396957305544563
ILI incidence,GB-NIR,2024-11-24,2024-W47,5.767585225526765
ILI incidence,GB-NIR,2024-12-01,2024-W48,7.798372834061023
ILI incidence,GB-SCT,2023-07-30,2023-W30,0.7316388011536753
ILI incidence,GB-SCT,2023-08-06,2023-W31,0.858197791369088
ILI incidence,GB-SCT,2023-08-13,2023-W32,0.5553697778201131
ILI incidence,GB-SCT,2023-08-20,2023-W33,0.8761673877355773
ILI incidence,GB-SCT,2023-08-27,2023-W34,0.8071438961004019
ILI incidence,GB-SCT,2023-09-03,2023-W35,2.0035515055005906
ILI incidence,GB-SCT,2023-09-10,2023-W36,1.0791289877820678
ILI incidence,GB-SCT,2023-09-17,2023-W37,0.8404782388417268
ILI incidence,GB-SCT,2023-09-24,2023-W38,2.4583577765938744
ILI incidence,GB-SCT,2023-10-01,2023-W39,3.0067274252102036
ILI incidence,GB-SCT,2023-10-08,2023-W40,1.4804782954311262
ILI incidence,GB-SCT,2023-10-15,2023-W41,0.7230740669990341
ILI incidence,GB-SCT,2023-10-22,2023-W42,2.6982673436580327
ILI incidence,GB-SCT,2023-10-29,2023-W43,2.5943767302819
ILI incidence,GB-SCT,2023-11-05,2023-W44,1.890609343391375
ILI incidence,GB-SCT,2023-11-12,2023-W45,7.035509388468499
ILI incidence,GB-SCT,2023-11-19,2023-W46,2.2745578660900887
ILI incidence,GB-SCT,2023-11-26,2023-W47,4.297954257391269
ILI incidence,GB-SCT,2023-12-03,2023-W48,4.678999660059774
ILI incidence,GB-SCT,2023-12-10,2023-W49,4.295216253232527
ILI incidence,GB-SCT,2023-12-17,2023-W50,3.8312837652979193
ILI incidence,GB-SCT,2023-12-24,2023-W51,7.1204533254284526
ILI incidence,GB-SCT,2023-12-31,2023-W52,6.771331626890554
ILI incidence,GB-SCT,2024-01-07,2024-W01,16.733279061731576
ILI incidence,GB-SCT,2024-01-14,2024-W02,7.088029989053674
ILI incidence,GB-SCT,2024-01-21,2024-W03,9.579841593117573
